3055,8774,Khurshed Alam Khan,Farrukhabad,"Uttar Pradesh, Delhi"
3065,7768,Maurice Kujur,Sundergarh,Orissa
3080,9249,Ram Niwas Mirdha,"Nagaur, Barmer","Rajasthan, Rajasthan, Rajasthan, Rajasthan"
3105,8070,Ram Pujan Patel,"Phulpur, Phulpur, Phulpur",Uttar Pradesh
3129,8157,Ram Ratan Ram,Hajipur,Uttar Pradesh
3132,8158,Ram Singh,"Hardwar, Hardwar",Uttar Pradesh
3168,8325,Syed Shahabuddin,"Kishanganj, Kishanganj",Bihar
3175,8374,Bhanu Pratap Singh,Pilibhit,Uttar Pradesh
3178,8007,K. Natwar Singh,"Bharatpur, Bharatpur",Rajasthan
3208,8491,D.K. Tharadevi,Chikmagalur,Karnataka
3265,8674,Biplab Dasgupta,Calcutta South,"West Bengal, West Bengal"
3282,9137,Inder Kumar Gujral,"Jullundur, Jullundur","Bihar, Punjab, Punjab"
3304,7698,Ram Kapse,"Thane, Thane",Maharashtra
3311,8778,Pyarelal Khandelwal,Raigarh,"Madhya Pradesh, Madhya Pradesh"
3327,8814,Satya Pal Malik,Aligarh,"Uttar Pradesh, Uttar Pradesh"
3378,8158,Ram Singh,Sultanpur,Uttar Pradesh
3386,7154,Naranbhai J. Rathwa,"Chhota Udaipur, Chhota Udaipur, Chhota Udaipur, Chhota Udaipur, Chhota Udaipur",Gujarat
3401,8958,Nand Kumar Sai,"Raigarh, Raigarh, Surguja","Chhattisgarh, Chhattisgarh"
3420,8370,C. Silvera,"Mizoram, Mizoram, Mizoram",Mizoram
3422,8387,Jagannath Singh,"Sidhi, Sidhi",Madhya Pradesh
3427,8411,Uday Pratap Singh,"Mainpuri, Mainpuri",Uttar Pradesh
3443,8514,K.C. Tyagi,Hapur,Bihar
3453,8567,Janardan Yadav,Godda,Bihar
3496,7528,Saroj Dubey,Allahabad,Bihar
3518,7696,Kanshi Ram,"Etawah, Hoshiarpur",Uttar Pradesh
3542,7933,Mohan Singh,"Ferozepur, Ferozepur",Uttar Pradesh
3560,8080,Pratibha Devisingh Patil,Amravati,Maharashtra
3561,8084,Suryakanta Patil,"Nanded, Hingoli, Hingoli",Maharashtra
3585,9195,Roshan Lal,Khurja,"Himachal Pradesh, Himachal Pradesh, Himachal Pradesh"
3604,7933,Mohan Singh,"Deoria, Deoria, Deoria",Uttar Pradesh
3620,9051,Sushila Tiriya,"Mayurbhanj, Mayurbhanj","Orissa, Orissa"
3623,8507,Frida Topno,"Sundergarh, Sundergarh",Orissa
3655,7013,Birendra Prasad Baishya,Mangaldoi,"Assam, Assam"
3656,7016,S.R. Balasubramoniyan,Nilgiris,Tamil Nadu
3664,7397,Jayanta Bhattacharya,Tamluk,West Bengal
3666,7025,Ranjib Biswal,"Jagatsinghpur, Jagatsinghpur",Orissa
3697,9243,Suresh Kalmadi,"Pune, Pune, Pune","Maharashtra, Maharashtra, Maharashtra, Maharashtra"
3701,7701,Ghulam Rasool Kar,Baramullah,Bhadrak
3707,7752,K.C. Kondaiah,"Bellary, Bellary",Karnataka
3723,8830,Chaturanan Mishra,Madhubani,"Bihar, Bihar"
3738,7120,Vishambhar Prasad Nishad,Fatehpur,"Uttar Pradesh, Uttar Pradesh"
3743,8059,Kameshwar Paswan,Nawada,Bihar
3755,8133,V.V. Raghavan,"Trichur, Trichur",Kerala
3756,8910,Ratna Bahadur Rai,Darjeeling,"West Bengal, West Bengal"
3758,8163,K.P. Ramalingam,Tiruchengode,Tamil Nadu
3771,7159,T. Subbarami Reddy,"Visakhapatnam, Visakhapatnam","Andhra Pradesh, Andhra Pradesh, Andhra Pradesh"
3779,8295,Arun Kumar Sarma,"Lakhimpur, Lakhimpur",Assam
3788,8340,Krishan Lal Sharma,"Outer Delhi, Outer Delhi",Himachal Pradesh
