2924,8449,Sukhbuns Kaur,"Gurdaspur, Gurdaspur, Gurdaspur, Gurdaspur, Gurdaspur",Punjab,Yes
2973,9001,Arjun Singh,"South Delhi, Satna","Madhya Pradesh, Madhya Pradesh",Yes
2978,7330,Balkavi Bairagi,Mandsaur,Madhya Pradesh,Yes
2981,7339,Vyjayantimala Bali,"Madras South, Madras South",Nominated,Yes
2992,9114,Narendra Budania,"Churu, Churu, Churu","Rajasthan, Rajasthan, Rajasthan",Yes
2993,7429,Parag Chaliha,Jorhat,Assam,Yes
3007,8671,Bipinpal Das,Tezpur,"Assam, Assam",Yes
3009,9128,Murli Deora,"Bombay South, Bombay South, Bombay South, Mumbai South","Maharashtra, Maharashtra, Maharashtra",Yes
3014,7181,Digvijaya Singh,"Raigarh, Raigarh",Madhya Pradesh,Yes
3030,8712,Dinesh Goswami,Guwahati,"Assam, Assam",Yes
3055,8774,Khurshed Alam Khan,Farrukhabad,"Uttar Pradesh, Delhi",Yes
3065,7768,Maurice Kujur,Sundergarh,Orissa,Yes
3080,9249,Ram Niwas Mirdha,"Nagaur, Barmer","Rajasthan, Rajasthan, Rajasthan, Rajasthan",Yes
3105,8070,Ram Pujan Patel,"Phulpur, Phulpur, Phulpur",Uttar Pradesh,Yes
3129,8157,Ram Ratan Ram,Hajipur,Uttar Pradesh,Yes
3132,8158,Ram Singh,"Hardwar, Hardwar",Uttar Pradesh,
3168,8325,Syed Shahabuddin,"Kishanganj, Kishanganj",Bihar,Yes
3175,8374,Bhanu Pratap Singh,Pilibhit,Uttar Pradesh,Yes
3178,8007,K. Natwar Singh,"Bharatpur, Bharatpur",Rajasthan,Yes
3208,8491,D.K. Tharadevi,Chikmagalur,Karnataka,Yes
3265,8674,Biplab Dasgupta,Calcutta South,"West Bengal, West Bengal",Yes
3282,9137,Inder Kumar Gujral,"Jullundur, Jullundur","Bihar, Punjab, Punjab",Yes
3304,7698,Ram Kapse,"Thane, Thane",Maharashtra,Yes
3311,8778,Pyarelal Khandelwal,Raigarh,"Madhya Pradesh, Madhya Pradesh",Yes
3327,8814,Satya Pal Malik,Aligarh,"Uttar Pradesh, Uttar Pradesh",Yes
3378,8158,Ram Singh,Sultanpur,Uttar Pradesh,
3386,7154,Naranbhai J. Rathwa,"Chhota Udaipur, Chhota Udaipur, Chhota Udaipur, Chhota Udaipur, Chhota Udaipur",Gujarat,Yes
3401,8958,Nand Kumar Sai,"Raigarh, Raigarh, Surguja","Chhattisgarh, Chhattisgarh",Yes
3420,8370,C. Silvera,"Mizoram, Mizoram, Mizoram",Mizoram,Yes
